,end_station_name,end_station_id
1322361,Langston Blvd & N Kirkwood St,31094.0
1311759,Langston Blvd & N Monroe St,31092.0
1312178,Langston Blvd & N Scott St,31080.0
1313130,Langston Blvd & N Woodstock St,31900.0
6676,Largo Rd & Campus Way / Prince Georges's Comm Col,32405.0
7342,Largo Town Center Metro,32401.0
33619,Lee Center,31914.0
106,Lee Hwy & N Adams St,31030.0
1337,Lee Hwy & N Cleveland St,31079.0
1851,Lee Hwy & N Kirkwood Rd,31094.0
1314,Lee Hwy & N Monroe St,31092.0
4537,Lee Hwy & N Scott St,31080.0
687,Lee Hwy & N Woodstock St,31900.0
33216,Library St & Freedom Dr,32216.0
315,Lincoln Memorial,31258.0
10,Lincoln Park / 13th & East Capitol St NE ,31619.0
708,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,31523.0
1297937,Links Dr & Wedge Dr,32245.0
6690,Livingston Rd & 3rd St SE,31818.0
1839638,Long Bridge Aquatic Center,31950.0
1509040,Long Bridge Aquatic ctr,31950.0
441,Long Bridge Park / Long Bridge Dr & 6th St S,31090.0
6415252,Loughboro Rd & Dalecarlia Pkwy NW / Sibley Hospital,31334.0
95,Lynn St & 19th St North,31014.0
770,Lyttonsville Rd & Lyttonsville Pl,32054.0
7444575,M St & Delaware Ave NE,31627.0
586,M St & New Jersey Ave SE,31208.0
75,M St & Pennsylvania Ave NW,31246.0
1673838,MBT & Bryant St NE,31531.0
604,Madison St & Fairfax St,31918.0
4702,Madison St & N Henry St,31099.0
2624998,Main Line Blvd & E Glebe,31959.0
436,Maine Ave & 7th St SW,31609.0
683,Maine Ave & 9th St SW,31646.0
4724444,Maine Ave & Water St SW,31674.0
5149892,Mandeville Ln & Stovall St,31974.0
2038,Maple & Ritchie Ave,32011.0
1291,Market Square / King St & Royal St,31042.0
958,Maryland Ave & 17th St NE,31656.0
401,Maryland Ave & E St NE,31640.0
5658648,Marymount University / Yorktown Blvd & 26th St N,31977.0
69,Massachusetts Ave & 6th St NE,31657.0
206,Massachusetts Ave & Dupont Circle NW,31200.0
75662,McLean Metro,32230.0
4731,Medical Center Dr & Key West Ave,32041.0
10619,Medical Center Metro ,32053.0
1365541,Meridian High School / Haycock Rd & Leesburg Pike,32600.0
15029,Merrifield Cinema & Merrifield Town Center,32235.0
171850,Merrilee Dr & Lauren Elizabeth Lane,32234.0
464,Metro Center / 12th & G St NW,31230.0
292,Minnesota Ave & R St SE,31826.0
8261,Minnesota Ave Metro/DOES,31703.0
75236,Mississippi Ave & 19th St SE / THEARC,31814.0
2092,Monroe Ave & Leslie Ave,31087.0
3658,Monroe St & Monroe Pl,32017.0
494,Montello Ave & Holbrook Terr NE,31524.0
1242,Montgomery & East Ln,32013.0
1696,Montgomery Ave & Waverly St ,32003.0
2594,Montgomery College / W Campus Dr & Mannakee St,32023.0
6999751,Motivate BX Tech office,32900.0
3022324,Motivate Tech Office,32902.0
2746,Mount Vernon Ave & Bruce St,31912.0
1856,Mount Vernon Ave & E Del Ray Ave,31086.0
4048,Mount Vernon Ave & E Nelson Ave,31085.0
4434,Mount Vernon Ave & Four Mile Run Park,31909.0
610,Mount Vernon Ave & Kennedy St,31088.0
1105,Mt Vernon Trail & S. Washington St.,31929.0
125612,N Hampton Dr & Ford Ave,31941.0
2243452,N Howard St & N Imboden St,31952.0
207167,N Howard St & Taney Ave,31943.0
72,N Lynn St & Fairfax Dr,31917.0
607419,N Moore St & Rosslyn Metro,31947.0
1400,N Oak St & W Broad St,32602.0
6121219,N Pershing Dr & N George Mason Dr,31069.0
6121357,N Pershing Dr & N Quebec St,31973.0
6118870,N Pershing Dr & N Wayne St,31065.0
3869997,N Pershing Dr & Quebec St,31973.0
97611,N Pitt St & Montgomery St,31931.0
1583,N Quincy St & Glebe Rd,31035.0
1692,N Roosevelt St & Roosevelt Blvd,32606.0
